"1319","Unknown"
"2151","Unknown"
"Jamesburg","Unknown"
"Lexington","Unknown"
"Vanderbilt","Unknown"
"Weiss","Unknown"

"N/A","Unknown"
"Puerto Rico","PR"


"AK","AK"
"Alaska","AK"
"Cordova, Southcentral Alaska","AK"
"Minto Flats, Interior Alaska","AK"
"Monroe county, AK","AK"

"Bellamy, AL","AL"
"Columbiana, AL","AL"
"Madison, AL","AL"

"Arkansas","AR"
"Arkansas county, AK","AR"

"Arizona","AZ"

"Alameda","CA"
"Berkeley, CA","CA"
"Brawley, CA","CA"
"Butte County, CA","CA"
"Calexico, CA","CA"
"California","CA"
"Colusa County, California","CA"
"Contra Costa","CA"
"El Centro, CA","CA"
"Fresno","CA"
"Fresno County, California","CA"
"Glenn County, CA","CA"
"Glenn County, California","CA"
"Granada Hills, CA","CA"
"Gridley, CA","CA"
"Hacienda Heights, CA","CA"
"Los Angeles, CA","CA"
"Marin","CA"
"Merced County, California","CA"
"Mono","CA"
"Orange County, CA","CA"
"Perris, CA","CA"
"Placer","CA"
"Sacramento","CA"
"San Diego, CA","CA"
"San Francisco","CA"
"San Joaquin County, CA","CA"
"San Luis Obispo","CA"
"Santa Clara","CA"
"Siskiyou County, California","CA"
"Solano County, CA","CA"
"Sutter County, California","CA"
"Yolo","CA"
"Yolo County, CA","CA"

"Colorado","CO"
"Denver, CO","CO"
"Louisville, CO","CO"

"Connecticut","CT"

"Washington, DC","DC"

"Bower's Beach, DE","DE"
"DE","DE"
"Delaware","DE"
"Delaware Bay, Delaware","DE"
"Mispillion Beach, Sussex county, DE","DE"
"Mispillion Dock, Sussex county, DE","DE"
"Mispillion Harbor, Sussex county, DE","DE"
"Port Mahon, Kent county, DE","DE"
"Slaughter Beach, DE","DE"
"South Bower's Beach, DE","DE"
"Ted Harvey Wildlife Area, DE","DE"

"Florida","FL"
"Pensacola, FL","FL"
"St. Peterburg, FL","FL"
"St. Petersburg, FL","FL"

"Atlanta","GA"
"Atlanta, GA","GA"
"Georgia","GA"
"Muscogee County, GA","GA"
"Muscogee county, GA","GA"
"Superior Landfill, GA","GA"

"Hawaii","HI"

"Iowa","IA"

"Idaho","ID"

"Bloomingdale, IL","IL"
"Dunlap, IL","IL"
"Illinois","IL"
"Illinois, Rockville","IL"
"Lake County, IL","IL"
"Lake county, IL","IL"
"Lake Zurich, IL","IL"
"Naperville, IL","IL"
"Perin, IL","IL"

"Indiana","IN"

"Kansas","KS"
"Overland Park, KS","KS"

"Florence, KY","KY"
"Hopkinsville, KY","KY"
"Kentucky","KY"

"Louisiana","LA"
"Cameron Parish, LA","LA"
"Hackberry, Cameron Parish LA","LA"

"Boston","MA"
"Boston, MA","MA"
"Cambridge, MA","MA"
"Massachusetts","MA"
"Massachusetts, Boston","MA"
"Springfield, MA","MA"

"Baltimore County, MD","MD"
"Maryland","MD"
"MD","MD"

"Maine","ME"

"Ann Arbor, MI","MI"
"Ann Arbor, Michigan","MI"
"Michigan","MI"
"Michigan, Ann Arbor","MI"
"Royal Oak, MI","MI"

"Minnesota","MN"
"Rochester, MN","MN"
"Roseau River, MN","MN"
"Roseau, MN","MN"
"Agassiz NWR, Agassiz Pool, Marshall county, MN","MN"
"Agassiz NWR, Farmes Pool, Marshall county, MN","MN"
"Agassiz NWR, Marshall county, MN","MN"
"Agassiz NWR, Parker Pool, Marshall county, MN","MN"
"Agassiz NWR, Tamarac Pool, Marshall county, MN","MN"
"Agassiz NWR, Webster Creek Pool, Marshall county, MN","MN"
"Marshall/Roseau county, MN","MN"
"Roseau county, MN","MN"
"Roseau Pool#1, Roseau county, MN","MN"
"Roseau Pool#3, Roseau county, MN","MN"
"Roseau River Peninsula, Roseau county, MN","MN"
"Roseau River, Roseau county, MN","MN"
"Thief Lake, Marshall county, MN","MN"
"Thief Lake, NW, Marshall county, MN","MN"
"Thief Lake, River Site, Marshall county, MN","MN"
"Thief River, Marshall county, MN","MN"

"Missouri","MO"
"MO","MO"
"Pulaski County, MO","MO"
"Pulaski county, MO","MO"

"Aberdeen, MS","MS"
"Mississippi","MS"

"Butte","MT"

"Graham, NC","NC"
"North Carolina","NC"
"Mattamuskeet NWR, NC","NC"
"Winston-Salem, NC","NC"
"JM Futch, NC","NC"

"Ilo, Dunn county, ND","ND"
"Lake Audobon, McLean county, ND","ND"

"Nebraska","NE"

"Cape May, NJ","NJ"
"Delaware Bay, New Jersey","NJ"
"Delaware Bay, NJ","NJ"
"Fort Monmouth, NJ","NJ"
"New Jersey","NJ"
"Newark, NJ","NJ"
"Atlantic county, NJ","NJ"
"Big Muddle Hole Island, Cape May county, NJ","NJ"
"Burlington county, NJ","NJ"
"Cape May county, NJ","NJ"
"Cook's Beach, Cape May county, NJ","NJ"
"Fortescue Beach, NJ","NJ"
"Gandy's Beach, Cumberland county, NJ","NJ"
"Helmetta, Middlesex county, NJ","NJ"
"Howard Stainton, Cape May county, NJ","NJ"
"Kimble's Beach, NJ","NJ"
"Middle Reed's, Cape May county, NJ","NJ"
"Moore's Beach, Cumberland county, NJ","NJ"
"North Cook's Beach, Cape May county, NJ","NJ"
"North Reed's Beach, Cape May county, NJ","NJ"
"Nummy Island, Cape May county, NJ","NJ"
"Reed's Beach, Cape May county, NJ","NJ"
